Date : 2021-03-16 22:37:55
Directory : d:\ahki
Total : 404 files,  33965 codes, 438 comments, 972 blanks, all 35375 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| XML        |        318 |     23,218 |        265 |        504 |     23,987 |
| JSON       |          2 |      5,246 |          0 |          2 |      5,248 |
| SCSS       |         34 |      3,477 |         39 |        259 |      3,775 |
| JavaScript |         49 |      2,004 |        134 |        192 |      2,330 |
| Markdown   |          1 |         20 |          0 |         15 |         35 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                           | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                              |        404 |     33,965 |        438 |        972 |     35,375 |
| auth                                                                           |          1 |          0 |         18 |          1 |         19 |
| components                                                                     |         53 |      4,188 |        105 |        352 |      4,645 |
| components\Toast                                                               |          2 |         39 |          0 |          2 |         41 |
| components\changeLanguage                                                      |          2 |        102 |          0 |          5 |        107 |
| components\comment                                                             |          2 |        113 |          5 |          7 |        125 |
| components\commentOrPostSettings                                               |          2 |         36 |          0 |          3 |         39 |
| components\deactivateDeleteAccount                                             |          2 |        216 |          6 |         20 |        242 |
| components\emojiPicker                                                         |          2 |        134 |          0 |          3 |        137 |
| components\facebookLogIn                                                       |          2 |         42 |          0 |          2 |         44 |
| components\homeTodayTopics                                                     |          2 |         30 |          0 |          4 |         34 |
| components\homeUsersStorys                                                     |          2 |         20 |          0 |          3 |         23 |
| components\initLanguage                                                        |          1 |        163 |          0 |          2 |        165 |
| components\modalSingInSingUp                                                   |          6 |        689 |         15 |         75 |        779 |
| components\modalSingInSingUp\singIn                                            |          1 |         53 |          1 |          6 |         60 |
| components\modalSingInSingUp\singUp                                            |          1 |        175 |          6 |         19 |        200 |
| components\modalSingInSingUp\verifyAccount                                     |          2 |         40 |          0 |          3 |         43 |
| components\navBar                                                              |          4 |        421 |          3 |         38 |        462 |
| components\navBar\sideNavBar                                                   |          2 |         79 |          0 |          6 |         85 |
| components\notFoundPage                                                        |          2 |         37 |          0 |          5 |         42 |
| components\popUpMessage                                                        |          2 |         58 |          0 |          5 |         63 |
| components\postTodayTopic                                                      |          2 |        359 |         22 |         24 |        405 |
| components\postUsersStorys                                                     |          2 |        357 |         21 |         30 |        408 |
| components\profileMenu                                                         |          2 |         82 |          0 |         11 |         93 |
| components\profileSettings                                                     |         10 |        915 |          6 |         80 |      1,001 |
| components\profileSettings\Account                                             |          2 |        175 |          5 |         10 |        190 |
